FIPS_STRING,County,State Abbreviation,YEAR,total_donations,num_donations,total_population,avg_donation,std_donations,avg_donation_per_capita
01115,St. Clair County,AL,2020.0,6457.79468234398,58.49675768163,164820.0,110.39577129198649,490.4498292078892,0.0006697959670670216
01115,St. Clair County,AL,2019.0,1120.47988257744,15.20267049102,164820.0,73.70283288316297,75.91065869590172,0.0004471716592838428
01073,Jefferson County,AL,2020.0,152467.64651382365,854.65594796804,830359.0,178.39651953083373,10104.671094109428,0.00021484263978692797
01073,Jefferson County,AL,2019.0,52583.86285118515,237.60918840216002,830359.0,221.30399587993008,3282.751752239883,0.0002665160441205913
01127,Walker County,AL,2020.0,3702.5586019239504,28.17788234115,89081.0,131.3994627806669,493.31286734675524,0.0014750559915208284
01127,Walker County,AL,2019.0,827.1640138845601,6.00119489743,89081.0,137.83321955412438,166.20051813271462,0.001547279661814802
01125,Tuscaloosa County,AL,2020.0,25600.45349654524,149.99430793934002,282637.0,170.67616663759304,2893.2764327177097,0.0006038705712188887
01125,Tuscaloosa County,AL,2019.0,11500.68279460047,40.190280014820004,282637.0,286.1558264923668,2054.4142058374555,0.0010124499852898483
01117,Shelby County,AL,2020.0,38047.06529051605,292.18980034547,360468.0,130.21352985467385,10643.486720098135,0.0003612346445583903
01117,Shelby County,AL,2019.0,11239.075117144272,71.63012865916,360468.0,156.90429889667703,3548.075727866637,0.00043527941147807026
01123,Tallapoosa County,AL,2020.0,3466.7111475727,24.53442667238,70745.0,141.2998638144417,559.3136166975003,0.001997312372809975
01123,Tallapoosa County,AL,2019.0,659.00949787412,4.17888928057,70745.0,157.69967894057993,68.82685411946146,0.002229128262641599
01037,Coosa County,AL,2020.0,521.0740564090199,3.2074439658,63156.0,162.45772707647404,81.1918586789861,0.002572324515112959
01037,Coosa County,AL,2019.0,167.01974192363,0.93957173924,63156.0,177.7615640703804,16.69239526940286,0.0028146425370571345
01051,Elmore County,AL,2020.0,5835.49827095028,45.26476399099,170034.0,128.91922450124434,846.5304187519044,0.0007581967400710701
01051,Elmore County,AL,2019.0,1673.18017835822,11.2018926755,170034.0,149.36584618576853,361.4094979756705,0.0008784469352351209
01009,Blount County,AL,2020.0,2007.77851784937,19.49065968495,178512.0,103.01234285054527,321.20947235311047,0.0005770611659190714
01009,Blount County,AL,2019.0,589.34738089755,4.87882859622,178512.0,120.79690222242328,104.13217305362167,0.000676687854163436
01121,Talladega County,AL,2020.0,2452.09917875303,27.51149971194,106040.0,89.12997126393725,298.9131210624215,0.0008405316037715697
01121,Talladega County,AL,2019.0,738.30063194066,10.520250283,106040.0,70.17899879565631,64.0176698660345,0.0006618162843800105
01095,Marshall County,AL,2020.0,7419.8733234692,43.75434655285,165028.0,169.58025677533277,1041.5409180652578,0.001027584753952861
01095,Marshall County,AL,2019.0,2704.24552573767,11.80479614946,165028.0,229.08023920949904,428.74612336035375,0.00138812952474428
01043,Cullman County,AL,2020.0,5357.75091764581,42.43836016058,160160.0,126.24783090988751,560.7067134098274,0.0007882606825042926
01043,Cullman County,AL,2019.0,2028.52334039069,9.35307324216,160160.0,216.8830808730225,285.5498497171859,0.0013541650903660246
01103,Morgan County,AL,2020.0,8130.60312320971,73.13226585989,177674.0,111.17668825941584,928.7431541859739,0.0006257341437656373
01103,Morgan County,AL,2019.0,2544.10043959762,15.467423626540002,177674.0,164.48120262461092,279.59757680918227,0.0009257471696737335
01007,Bibb County,AL,2020.0,948.29275593104,5.730707998490001,92124.0,165.4756717984773,105.29862905656432,0.0017962276040822945
01007,Bibb County,AL,2019.0,405.73023988543,1.8890435632,92124.0,214.78077466785973,70.51225150321888,0.002331431273803349
01105,Perry County,AL,2020.0,193.16287986156,2.30286119299,45164.0,83.87951494842824,31.266344635636035,0.0018572206834741882
01105,Perry County,AL,2019.0,70.56160672663,0.57934513207,45164.0,121.7954597711271,11.56474137549622,0.0026967376621009455
01021,Chilton County,AL,2020.0,1113.67237262153,9.66379560453,84558.0,115.24171435284549,115.21532290054992,0.0013628718081416956
01021,Chilton County,AL,2019.0,541.38103889254,3.01910673724,84558.0,179.3182838535409,91.91346973214254,0.002120654271074776
01133,Winston County,AL,2020.0,1048.60830741496,9.91655789432,68161.0,105.74317405191385,119.64389371352573,0.001551373572158769
01133,Winston County,AL,2019.0,262.73580905893004,3.35427426578,68161.0,78.32866016334347,34.29020034774586,0.0011491712293443975
01027,Clay County,AL,2020.0,4690.99084344962,5.55520462331,55044.0,844.4316927167574,1178.9493208947754,0.015341030679397526
01027,Clay County,AL,2019.0,2142.60372446059,1.30325501937,55044.0,1644.0402627387043,499.0780976454735,0.029867746943149195
01015,Calhoun County,AL,2020.0,8474.57643755074,55.603651364689995,141101.0,152.41043042242282,2109.936120755312,0.0010801513130482621
01015,Calhoun County,AL,2019.0,1661.7376732989799,14.77905432416,141101.0,112.43870120853813,317.82057747912853,0.0007968667919329993
01055,Etowah County,AL,2020.0,5960.15320532006,67.92400243127,164602.0,87.74737930602569,840.0803389838015,0.000533088172112281
01055,Etowah County,AL,2019.0,1112.1934924747,8.8641690005,164602.0,125.47070034562344,258.75337021190023,0.0007622671677478004
01065,Hale County,AL,2020.0,322.60175874746005,3.42594910515,29126.0,94.16420058970357,42.082954160632426,0.00323299459554019
01065,Hale County,AL,2019.0,47.146592593520005,0.78470651894,29126.0,60.08181588348053,9.357276394993406,0.0020628241393765203
01107,Pickens County,AL,2020.0,546.8228888552,7.65188633968,33444.0,71.4624949431839,38.69432015312464,0.002136780736251163
